cosine_tfidf,jaccard_tokens,dice_tokens,overlap_unique_tokens,char_len_a,char_len_b,char_len_diff,line_count_a,line_count_b,line_count_diff,token_count_a,token_count_b,token_count_diff,is_clone
0.9543640726423723,0.8787878787878788,0.9354838709677419,0.9354838709677419,314.0,309.0,5.0,13.0,13.0,0.0,102.0,100.0,2.0,0
0.42189902180747413,0.7931034482758621,0.8846153846153846,0.8846153846153846,225.0,319.0,94.0,8.0,8.0,0.0,71.0,71.0,0.0,0
0.8167275021538195,0.6888888888888889,0.8157894736842105,0.9393939393939394,338.0,217.0,121.0,16.0,10.0,6.0,92.0,58.0,34.0,1
0.20698736847696864,0.7142857142857143,0.8333333333333334,0.8333333333333334,401.0,299.0,102.0,11.0,11.0,0.0,111.0,111.0,0.0,0
0.94335600152559,0.9,0.9473684210526315,0.9642857142857143,350.0,300.0,50.0,15.0,11.0,4.0,155.0,143.0,12.0,0
0.45906479426954017,0.5428571428571428,0.7037037037037037,0.7307692307692307,310.0,348.0,38.0,11.0,11.0,0.0,78.0,78.0,0.0,0
0.2949437124921092,0.5714285714285714,0.7272727272727273,0.7272727272727273,239.0,359.0,120.0,8.0,14.0,6.0,78.0,100.0,22.0,1
0.6225302698495122,0.3225806451612903,0.4878048780487805,0.6666666666666666,156.0,73.0,83.0,9.0,5.0,4.0,54.0,22.0,32.0,1
0.493164944652774,0.43243243243243246,0.6037735849056604,0.64,182.0,167.0,15.0,11.0,9.0,2.0,64.0,68.0,4.0,1
0.5309188494980094,0.5238095238095238,0.6875,0.6875,475.0,317.0,158.0,12.0,9.0,3.0,104.0,76.0,28.0,1
0.9463061032843243,0.875,0.9333333333333333,0.9333333333333333,441.0,462.0,21.0,11.0,11.0,0.0,126.0,126.0,0.0,0
0.9428479356796904,0.9024390243902439,0.9487179487179487,0.9487179487179487,476.0,477.0,1.0,10.0,10.0,0.0,95.0,95.0,0.0,0
0.9559192870554,0.7948717948717948,0.8857142857142857,0.8857142857142857,595.0,595.0,0.0,13.0,13.0,0.0,138.0,138.0,0.0,0
0.9605741548089524,0.9130434782608695,0.9545454545454546,0.9545454545454546,449.0,457.0,8.0,14.0,14.0,0.0,107.0,107.0,0.0,0
0.7818675324860284,0.8260869565217391,0.9047619047619048,0.9047619047619048,147.0,126.0,21.0,6.0,6.0,0.0,43.0,43.0,0.0,0
0.9425251789033285,0.8666666666666667,0.9285714285714286,0.9285714285714286,281.0,280.0,1.0,12.0,12.0,0.0,117.0,114.0,3.0,0
0.7777982005885956,0.8620689655172413,0.9259259259259259,0.9615384615384616,199.0,268.0,69.0,7.0,9.0,2.0,46.0,52.0,6.0,1
0.7632580782509594,0.7380952380952381,0.8493150684931506,0.8611111111111112,419.0,333.0,86.0,13.0,9.0,4.0,84.0,68.0,16.0,1
0.7533145281569764,0.7567567567567568,0.8615384615384616,0.875,405.0,399.0,6.0,22.0,22.0,0.0,136.0,133.0,3.0,0
0.39318564775932424,0.48,0.6486486486486487,0.8,114.0,95.0,19.0,5.0,5.0,0.0,37.0,22.0,15.0,1
0.2574644493706609,0.7692307692307693,0.8695652173913043,0.8695652173913043,238.0,256.0,18.0,12.0,12.0,0.0,59.0,59.0,0.0,0
0.8290850995658758,0.8333333333333334,0.9090909090909091,1.0,286.0,164.0,122.0,8.0,4.0,4.0,84.0,50.0,34.0,1
0.1905783319117676,0.6923076923076923,0.8181818181818182,0.8181818181818182,154.0,162.0,8.0,8.0,8.0,0.0,46.0,46.0,0.0,0
0.9035808420705994,0.8518518518518519,0.92,0.9583333333333334,186.0,190.0,4.0,6.0,6.0,0.0,36.0,36.0,0.0,0
0.6411750463011967,0.5365853658536586,0.6984126984126984,0.8461538461538461,331.0,153.0,178.0,10.0,5.0,5.0,90.0,49.0,41.0,1
0.5692767862660297,0.6086956521739131,0.7567567567567568,0.7777777777777778,363.0,434.0,71.0,11.0,14.0,3.0,88.0,90.0,2.0,1
0.1731579874189463,0.7037037037037037,0.8260869565217391,0.8260869565217391,238.0,228.0,10.0,12.0,12.0,0.0,59.0,59.0,0.0,0
0.815329515809835,0.8,0.8888888888888888,0.9090909090909091,167.0,169.0,2.0,8.0,8.0,0.0,46.0,46.0,0.0,0
0.6475449797288173,0.8518518518518519,0.92,0.92,209.0,224.0,15.0,7.0,7.0,0.0,64.0,64.0,0.0,0
0.9785184590559133,1.0,1.0,1.0,218.0,231.0,13.0,10.0,11.0,1.0,83.0,91.0,8.0,0
0.6636534683281655,0.65,0.7878787878787878,0.8125,403.0,500.0,97.0,22.0,25.0,3.0,134.0,150.0,16.0,1
0.6276858319789875,0.6304347826086957,0.7733333333333333,0.8529411764705882,439.0,342.0,97.0,13.0,7.0,6.0,101.0,84.0,17.0,1
0.8518813595585754,0.7272727272727273,0.8421052631578947,0.9230769230769231,190.0,233.0,43.0,8.0,13.0,5.0,65.0,86.0,21.0,1
0.5871788519707601,0.375,0.5454545454545454,0.6923076923076923,118.0,47.0,71.0,3.0,3.0,0.0,47.0,17.0,30.0,1
0.597748720296247,0.7142857142857143,0.8333333333333334,0.8333333333333334,250.0,188.0,62.0,11.0,5.0,6.0,63.0,55.0,8.0,1
0.5600084633295694,0.8571428571428571,0.9230769230769231,0.9230769230769231,162.0,162.0,0.0,11.0,11.0,0.0,55.0,54.0,1.0,0
0.6904904197724266,0.7435897435897436,0.8529411764705882,0.90625,354.0,256.0,98.0,19.0,15.0,4.0,142.0,82.0,60.0,1
0.27328913814359457,0.4166666666666667,0.5882352941176471,0.75,354.0,127.0,227.0,9.0,3.0,6.0,78.0,37.0,41.0,1
0.9696322408989055,0.8857142857142857,0.9393939393939394,0.9393939393939394,342.0,331.0,11.0,12.0,12.0,0.0,99.0,98.0,1.0,0
0.957836066230175,0.9090909090909091,0.9523809523809523,1.0,117.0,106.0,11.0,7.0,7.0,0.0,38.0,34.0,4.0,0
0.9822948556659352,0.9459459459459459,0.9722222222222222,0.9722222222222222,316.0,314.0,2.0,14.0,14.0,0.0,93.0,92.0,1.0,0
0.8558916998837045,0.875,0.9333333333333333,0.9545454545454546,152.0,157.0,5.0,7.0,7.0,0.0,64.0,70.0,6.0,1
0.9855654345707008,0.9285714285714286,0.9629629629629629,0.9629629629629629,340.0,334.0,6.0,17.0,21.0,4.0,118.0,118.0,0.0,0
0.35543158299706085,0.47368421052631576,0.6428571428571429,0.6428571428571429,310.0,347.0,37.0,11.0,11.0,0.0,78.0,78.0,0.0,0
0.9263259157238155,0.873015873015873,0.9322033898305084,0.9649122807017544,721.0,777.0,56.0,20.0,23.0,3.0,233.0,244.0,11.0,1
0.958968828860909,0.9230769230769231,0.96,0.96,153.0,140.0,13.0,6.0,8.0,2.0,83.0,76.0,7.0,1
0.36485929707986486,0.5806451612903226,0.7346938775510204,0.782608695652174,235.0,224.0,11.0,10.0,5.0,5.0,65.0,51.0,14.0,1
0.7865248016546557,0.6923076923076923,0.8181818181818182,0.9473684210526315,125.0,174.0,49.0,6.0,9.0,3.0,30.0,43.0,13.0,1
0.958498182830009,0.9444444444444444,0.9714285714285714,1.0,100.0,102.0,2.0,7.0,7.0,0.0,40.0,40.0,0.0,0
0.8221439601068589,0.8076923076923077,0.8936170212765957,0.9545454545454546,149.0,134.0,15.0,10.0,10.0,0.0,40.0,33.0,7.0,1
0.9761569208573326,0.9130434782608695,0.9545454545454546,0.9545454545454546,136.0,137.0,1.0,6.0,6.0,0.0,40.0,42.0,2.0,0
0.8120801747905951,0.6785714285714286,0.8085106382978723,0.95,371.0,155.0,216.0,9.0,3.0,6.0,72.0,33.0,39.0,1
0.9150021189428739,0.8823529411764706,0.9375,0.9375,103.0,99.0,4.0,5.0,5.0,0.0,31.0,31.0,0.0,0
0.46228854538187386,0.6060606060606061,0.7547169811320755,0.8333333333333334,217.0,213.0,4.0,12.0,11.0,1.0,62.0,51.0,11.0,1
0.9166165513926271,0.896551724137931,0.9454545454545454,1.0,288.0,307.0,19.0,7.0,7.0,0.0,63.0,69.0,6.0,0
0.9693163972108717,0.9444444444444444,0.9714285714285714,1.0,346.0,355.0,9.0,14.0,14.0,0.0,90.0,97.0,7.0,0
0.7155196913136583,0.775,0.8732394366197183,0.9117647058823529,302.0,324.0,22.0,14.0,16.0,2.0,76.0,81.0,5.0,0
0.9718002059471953,0.8620689655172413,0.9259259259259259,0.9259259259259259,330.0,335.0,5.0,11.0,12.0,1.0,99.0,99.0,0.0,0
0.9115246194602117,0.9069767441860465,0.9512195121951219,0.9512195121951219,440.0,460.0,20.0,13.0,13.0,0.0,103.0,103.0,0.0,0
0.9455907974997403,0.8181818181818182,0.9,0.9,441.0,456.0,15.0,11.0,11.0,0.0,126.0,126.0,0.0,0
0.9602621030799935,0.8666666666666667,0.9285714285714286,0.9285714285714286,549.0,574.0,25.0,20.0,20.0,0.0,159.0,159.0,0.0,0
0.949099269990973,0.9230769230769231,0.96,1.0,414.0,449.0,35.0,13.0,15.0,2.0,108.0,121.0,13.0,0
